smiles,OR52W1,OR14J1,OR1G1,OR52J3,OR52I1,OR52H1,OR11H4,OR13C5,OR2T2,OR52D1,OR5AN1,OR4E2,OR51T1,OR51B5,OR52A5,OR5M11,OR52N5,OR52K2,OR1J4,OR56B4,OR10J5,OR4A16,ORT2T,OR8H2,OR2J1,OR10G6,OR2C3,OR4Q3,OR6P1,OR2S2,OR10A4,OR51E1,OR8H3, OR10G4,OR13C9,OR13C2,OR8K3,OR52K1,OR2M7,OR52L1,OR52L2,OR5A1,OR2J2,OR2T4,OR2AT4,OR1OS1,OR2M2,OR1D2,OR5AC2,OR2Y1,OR2W1,OR5D13,OR2T10,OR2G2,OR1A1,OR5K2,OR2AG1,OR5K1,OR2A25,OR2B11,OR52B2,OR2B2,OR8B3,OR8B2,OR1K1,OR5AV1,OR10S1,OR10G3,OR52A1,OR11h6,OR51E2,OR2M4,OR11A1,OR1A2,OR2M3,OR13A1
CSCCC=O,0.989,0.989,0.987,0.983,0.975,0.975,0.973,0.971,0.97,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)C=O,0.928,0.875,0.98,0.855,,0.873,,0.727,0.691,0.737,0.598,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)C(C)=O,,,,,,,,,,,,,0.928,0.921,0.914,0.89,0.882,0.866,0.842,0.796,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCC/C=C/C=C/C=O,0.979,0.841,0.972,0.945,,0.952,,,,0.842,0.81,0.829,,,,,,,,,,,0.898,0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1OC(=C(O)C1=O)C,0.968,,,0.944,,,,,0.938,,,,,,,,,,,,,,,,0.983,0.968,0.966,0.961,0.953,0.94,0.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC=O,0.995,0.981,0.987,0.991,,0.981,0.975,,,,0.972,0.982,,,,,,,,,,,0.987,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1OC(=O)C(=C1C)O,0.643,,,,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)C=C,0.989,0.956,0.971,0.982,,0.954,0.973,,0.974,,,0.973,,,,,,,,,,,,0.956,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)=O,0.952,0.953,0.96,0.9,0.784,0.92,,0.839,0.807,0.837,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC=O,0.952,0.953,0.96,0.9,0.784,0.92,,0.839,0.807,0.837,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(C)CC,0.994,,0.981,0.989,,0.975,,,0.986,,0.973,0.984,,,,,,,,,,,,0.975,0.987,,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC\C=C\C=O,0.993,,0.983,0.986,,0.967,0.972,,0.982,,,0.982,,,,,,,,,,,,0.977,0.986,,,,,,,,0.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=C(C=CC(=C1)C=O)O,0.999,0.997,,0.998,,,0.998,,0.998,,,0.998,,,,,,,,,,,,0.997,0.999,,,0.999,,,,,,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)C1=NCCC1,,0.528,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,0.564,,0.711,0.629,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)C(O)=O,,,,,,,,,,,,,0.843,0.932,0.775,0.872,,0.875,0.755,0.733,,,,,,,,,,,,,,,,,0.796,0.761,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCC(O)=O,0.959,0.952,0.966,0.892,,0.933,,0.777,0.839,0.804,0.742,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)=CCCC(C)(O)C=C,0.973,,,0.962,,,0.97,,,,,,,,,,,,,,,,,0.981,0.952,,,,,,,,,,,,,,,0.975,0.974,0.97,0.954,0.954,0.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,0.947,,,,,,0.963,,,,,,,0.971,,,,,,0.949,,,,,,,,,,,,,,,,,0.976,,,0.975,0.972,0.982,,,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCC(=O)OCC,0.992,,0.981,0.987,,0.962,,,0.977,,0.957,0.971,,,,,,,,,,,,0.965,0.975,,,,,,,,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC\C=C/CC=O,0.993,,0.983,0.989,,0.974,0.954,,0.983,0.957,0.966,0.973,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=CC=C1O,0.992,,0.978,0.987,,,0.972,,0.984,,,0.985,,,,,,,,,,,,,0.987,,,0.978,,0.974,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C=O,0.916,0.968,0.926,0.825,0.772,0.852,,0.889,0.727,0.705,,,,,,,,,,,,,,,,,,,,,,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC1C(O1)C=CC=O,0.971,0.737,0.928,0.963,,0.898,0.771,,0.923,0.762,0.798,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCO,,,0.804,,,,,,,,,,0.818,0.923,,0.871,,0.862,,,,,,,,,,,,,,,,,,,0.893,0.788,0.787,,,,,,,0.813,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
